signal,holding_period,direction,p_value,p_value_less,null_mean,null_se,observed_mean,excess_vs_rotation,n_offsets,n_trades,p_adj,reject,beats_rotation_null,p_value_two_sided,p_adj_two_sided,loses_to_rotation_null
ict_nwog_gap_down,3,-1,0.5524340033906515,0.4478081860014531,-0.0021427779330785955,0.0007506840635127713,-0.0022511147593572618,-0.00010833682627866626,4128,131146,1.0,False,False,0.8956163720029062,0.9299615426106873,False
ict_nwog_gap_up,3,1,0.21530636958101235,0.7849358198110923,0.0021490695014043187,0.0006865669131203617,0.0026908043158130833,0.0005417348144087647,4128,147587,1.0,False,False,0.4306127391620247,0.6342078836193836,False
ict_ob_bearish_formed,3,-1,0.5790748365221603,0.4211673528699443,-0.002155849224044241,0.000882100000641667,-0.002342808009570576,-0.00018695878552633504,4128,22483,1.0,False,False,0.8423347057398886,0.9012213265058989,False
ict_ob_bearish_mitigated,3,1,0.7633809639137806,0.23686122547832406,0.002099596922718249,0.0007260885551233647,0.0016895890531967057,-0.0004100078695215433,4128,20166,1.0,False,False,0.4737224509566481,0.6723802529707263,False
ict_ob_bullish_formed,3,1,0.9900702349237104,0.010171954468394284,0.0021282544790743032,0.0005286229978278747,0.001043300146891945,-0.0010849543321823582,4128,32591,1.0,False,False,0.020343908936788568,0.08699413036762434,False
ict_ob_bullish_mitigated,3,-1,0.9355776217001696,0.0646645676919351,-0.002151087930598719,0.0012923399787275153,-0.0037602161920254353,-0.0016091282614267162,4128,20598,1.0,False,False,0.1293291353838702,0.29830990926881334,False
ict_sweep_buyside_bearish,3,-1,0.6052312908694599,0.3950108985226447,-0.0021386458524798083,0.0005501211830776444,-0.0022158119555857982,-7.716610310598993e-05,4128,65576,1.0,False,False,0.7900217970452894,0.8828180081267996,False
ict_sweep_sellside_bullish,3,1,0.31024461128602565,0.689997578106079,0.0021067571987990604,0.0008718725271900884,0.0024214840244128847,0.00031472682561382425,4128,49420,1.0,False,False,0.6204892225720513,0.7812411641398137,False
ict_volume_imbalance_bearish,3,-1,0.9975781060789537,0.002664083313150884,-0.0021472501065082326,0.0004959563238554762,-0.003595625777981911,-0.0014483756714736783,4128,84860,1.0,False,False,0.005328166626301768,0.037637910085054675,True
ict_volume_imbalance_bullish,3,1,0.9997578106078954,0.0004843787842092516,0.0021173173423135127,0.00037993150497049084,0.0008510922828041855,-0.0012662250595093273,4128,117712,1.0,False,False,0.0009687575684185032,0.012860209161072292,True
smc_equal_highs,3,-1,0.9493824170501332,0.05085977234197142,-0.0021139359023156323,0.000548267007477417,-0.0029000809184315432,-0.0007861450161159109,4128,10504,1.0,False,False,0.10171954468394284,0.25668159001492336,False
smc_equal_lows,3,1,0.8437878420925163,0.15645434729958826,0.0021028920164119745,0.0006888492417663269,0.0015361735605263958,-0.0005667184558855788,4128,9360,1.0,False,False,0.31290869459917653,0.5220088175303798,False
