signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len,ict.displacement_perc_body,ict.sweep_penetration_atr,smc.swing_len,smc.internal_len,draw
smc_swing_choch_bullish,171,0.0038250256151701016,-0.0029784902924872084,0.7378474119255702,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_ob_bearish_formed,246,0.004268356755904334,0.011137177565411596,0.0029641523025818136,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_ob_bearish_mitigated,242,0.0053544937751825806,-0.0015171710600123288,0.6449333489926934,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_ob_bullish_formed,458,0.008663620859201604,0.0016944387789383413,0.27251660079988066,23,6,0.5623926820566052,0.54248571617199,48,12,4
smc_swing_ob_bullish_mitigated,428,-0.010178303536601475,-0.003280515940828139,0.8710517475778163,23,6,0.5623926820566052,0.54248571617199,48,12,4
ict_bos_bearish,2228,-0.014205045799177985,-0.00720515414284071,0.9999999610052259,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_bos_bullish,4523,0.0035444579552964504,-0.003413194039985963,0.9999477777079421,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_bpr_bearish,1805,-0.006800317017727391,0.0001624164353051247,0.4554203638566361,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_bpr_bullish,1870,0.00454912190278675,-0.0024957811617463002,0.959387862210721,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_displacement_bearish,12958,-0.008479948925445149,-0.0015610163622620634,0.9988733248108043,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_displacement_bullish,14224,0.0046502833468462295,-0.002326667373252037,0.9999993266904674,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_fvg_bearish_formed,6053,-0.008310785540870643,-0.0014155144816594255,0.9662164975883826,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_fvg_bullish_formed,7397,0.004272048947189848,-0.0027092153565598347,0.9999570118865116,10,8,0.4036288671441264,0.4663779235594015,42,13,5
ict_liquidity_buyside_pool_formed,2159,0.007922146244486998,0.0012721323340494231,0.1559657639260318,10,8,0.4036288671441264,0.4663779235594015,42,13,5
