signal,cost_bps,n_trades,mean_net_return
smc_internal_bos_bearish,60.0,16549,-0.016346679410685287
smc_internal_bos_bullish,60.0,31944,-0.0017904659963294033
smc_internal_choch_bearish,60.0,26315,-0.013668395934575993
smc_internal_choch_bullish,60.0,26396,0.0003951662191522256
smc_internal_ob_bearish_formed,60.0,42864,-0.014702431797914289
smc_internal_ob_bearish_mitigated,60.0,38121,0.0010100926096404672
smc_internal_ob_bullish_formed,60.0,58340,-0.0008015741903668891
smc_internal_ob_bullish_mitigated,60.0,39612,-0.013923058038399074
smc_swing_bos_bearish,60.0,1245,-0.013586857160545147
smc_swing_bos_bullish,60.0,4576,0.0001220591295340804
smc_swing_choch_bearish,60.0,2653,-0.009683011440427951
smc_swing_choch_bullish,60.0,2699,0.0013393012263925455
smc_swing_ob_bearish_formed,60.0,3898,-0.010929878531640343
smc_swing_ob_bearish_mitigated,60.0,3356,0.0005496313240758045
smc_swing_ob_bullish_formed,60.0,7275,0.0005736517645060397
smc_swing_ob_bullish_mitigated,60.0,3405,-0.016515017326172648
