signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len
smc_swing_choch_bearish,168,0.003048274478786804,0.00989252357985805,0.018455499327838885,5,7
smc_swing_choch_bullish,165,0.0048771221006292335,-0.0019799141162474805,0.6600154000347649,5,7
smc_swing_ob_bearish_formed,238,0.0024709268521346884,0.009374033294855864,0.011795706619165175,5,7
smc_swing_ob_bearish_mitigated,234,0.005981760718047573,-0.0009248730612089291,0.5875960409331018,5,7
smc_swing_ob_bullish_formed,440,0.009457924427508608,0.0024256753384248354,0.19903037327434053,5,7
smc_swing_ob_bullish_mitigated,410,-0.010761670184265716,-0.0037939496167895817,0.898487935678928,5,7
ict_bos_bearish,2048,-0.014321402531613098,-0.007302617694360167,0.9999998924409116,5,10
ict_bos_bullish,4348,0.0034306738750258044,-0.003506400150135459,0.9999549907161729,5,10
ict_bpr_bearish,1642,-0.00641437256654487,0.0005439691480111902,0.3603235398372385,5,10
ict_bpr_bullish,1710,0.004759805093449638,-0.0023242153603905847,0.9387618960861359,5,10
ict_displacement_bearish,11757,-0.008727665383950778,-0.0018283859182820121,0.9996581673344738,5,10
ict_displacement_bullish,12980,0.004604091177142438,-0.0023756621087189294,0.9999985890649403,5,10
ict_fvg_bearish_formed,5600,-0.008024272758270582,-0.0011364196057796058,0.9205640867600116,5,10
ict_fvg_bullish_formed,6860,0.004471358594930324,-0.0025257270185139744,0.9997781830743365,5,10
ict_liquidity_buyside_pool_formed,1633,0.00804936999791733,0.0014638013753412059,0.15703139214808903,5,10
ict_liquidity_buyside_swept,1325,0.006706632773258647,8.817566920513598e-05,0.4782644637891893,5,10
ict_liquidity_sellside_pool_formed,1367,-0.00751828482506984,-0.000819052074751042,0.688798605203903,5,10
ict_liquidity_sellside_swept,937,-0.00993937471478147,-0.003278887687266651,0.9465567456957119,5,10
ict_mss_bearish,1514,-0.008494407524207895,-0.0015281474349134226,0.8338061452284771,5,10
ict_mss_bullish,1522,0.004686225827499098,-0.0022864213642899596,0.926912190569281,5,10
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,5,10
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,5,10
ict_ob_bearish_formed,2642,-0.009330013003352127,-0.0023869963274036387,0.9763018996164368,5,10
ict_ob_bearish_mitigated,2344,0.0059335573222840665,-0.001017286854936546,0.7880861329426505,5,10
ict_ob_bullish_formed,3584,0.00462327836817754,-0.002359210095666,0.9901590577938797,5,10
ict_ob_bullish_mitigated,2417,-0.010201649770921561,-0.0033351596569408132,0.9961323957973468,5,10
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,5,10
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,5,10
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,5,10
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,5,10
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,5,10
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,5,10
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,5,10
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,5,10
smc_internal_bos_bearish,1048,-0.012834171710443118,-0.005940465272575376,0.998791706819664,5,10
smc_internal_bos_bullish,1981,0.002136678027645868,-0.004854754883838899,0.9998140203473082,5,10
smc_internal_choch_bearish,1594,-0.0070261495623035975,-5.0713106236772824e-05,0.5131412946459099,5,10
smc_internal_choch_bullish,1600,0.007732525235902663,0.0007627751705171744,0.3096378231321552,5,10
smc_internal_ob_bearish_formed,2642,-0.009330013003352127,-0.0023869963274036387,0.9763018996164368,5,10
smc_internal_ob_bearish_mitigated,2606,0.007649561175434465,0.0006997404061540227,0.28192516135872825,5,10
smc_internal_ob_bullish_formed,3581,0.004636916936668732,-0.002344828023473156,0.9897501410791308,5,10
