combination,n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_value_vs_matched_random_srs,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,p_adj_vs_matched_random,reject_vs_matched_random,low_sample_warning,beats_matched_random,statistically_significant
ict_displacement_bullish+ict_sweep_sellside_bullish,13551,0.5600324699284186,0.0061074708049167845,0.007673373569591746,0.06696835991505641,-0.2627726880572393,5.690731050260137,1.2956261292238955,0.4578170968062416,0.6115386334907212,0.006107470804916793,-0.9660570911994855,-0.37461991322309274,0.10396647361168673,0.10043754907957415,1.0152969548681654,1.7505154600152965e-24,0.09119934865753894,0.9902920798889068,-0.02102869832457047,0.007086628332393486,-0.0009791575274767017,0.6465022477937402,0.9683295820590294,2.1881443250191206e-24,True,1.0,False,0.9995462817276003,False,False,False,False
ict_mss_bearish+smc_internal_ob_bearish_formed,15827,0.43349971567574397,-0.008073416212575712,-0.008130889749249803,0.06647648018342257,0.10844347610849264,6.62150390941677,0.7095062030609249,-0.6096626599961293,-0.8713130978026317,-0.008073416212575714,-1.0,-0.9929194699447252,-0.23045751701705805,-0.23045751701705805,0.924912327674816,3.9999396508870876e-54,-0.12144770887838016,1.0,-0.2383158092157851,-0.007050410405784814,-0.0010230058067908984,0.6421409928366135,0.9829890355782177,1.4999773690826579e-53,True,1.0,False,0.9995462817276003,False,False,False,False
ict_bpr_bullish+ict_fvg_bullish_formed,26830,0.5595974655236675,0.006190668484569056,0.006838487267088911,0.06268456260445295,0.1375848487604635,5.075353477875932,1.3210031056207234,0.4957665469802871,0.7056489530219877,0.006190668484569058,-0.9435191279189356,-0.31999415113325297,0.11868417817681721,0.11198079229116614,1.0361084702137762,1.8708979102741272e-55,0.09875906008362714,0.999328464929191,-0.02043073927759324,0.0072374171347075935,-0.0010467486501385377,0.7135917484107772,0.9972843311401228,7.483591641096509e-55,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+ict_mss_bullish,16001,0.5641522404849697,0.006089748828450091,0.007583499178968278,0.06185555058434274,0.449154858835083,8.59824112934305,1.323036388069838,0.49422074833361185,0.7108576064344154,0.006089748828450092,-0.8303375863511911,-0.2844129832594293,0.133765443517641,0.11107047550763462,1.0180359755769464,3.621837155069616e-36,0.0984511296224977,0.9971102941690975,-0.022165787976627282,0.007158377737949237,-0.0010686289094991456,0.733564061002963,0.9863615428128916,6.391477332475794e-36,True,1.0,False,0.9995462817276003,False,False,False,False
ict_ob_bullish_formed+smc_internal_choch_bullish,10779,0.5703683087484924,0.006006608509861458,0.007708049198363653,0.05920122942804035,0.25376137514830827,6.162312890322454,1.3343957297029345,0.5093295477603911,0.718600983771849,0.006006608509861448,-0.9174798441168374,-0.2609268542892573,0.12316831743062878,0.11300444867638644,1.0003627062785987,2.9314548228430764e-26,0.10146087451042798,0.9942905147678874,-0.023976648539638504,0.007145129114842593,-0.0011385206049811351,0.7634359284268978,0.9738483335371427,3.9974383947860134e-26,True,1.0,False,0.9995462817276003,False,False,False,False
ict_volume_imbalance_bullish+smc_fvg_bullish_formed,10258,0.5517644765061416,0.005925647877863746,0.005985514715796003,0.06493759539024878,0.3394251070001313,6.433026373525809,1.302813516473024,0.4580784996054419,0.6580361327206241,0.005925647877863743,-0.8725253001446572,-0.3139822727414857,0.11562862059140593,0.10088889688682914,1.0546804827702112,8.400372664358756e-20,0.09125142134156632,0.9914612397447315,-0.024183010738752612,0.007066161685931616,-0.0011405138080678697,0.7191576993027854,0.9724779885733009,9.509855846443875e-20,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bearish+ict_mss_bearish,16671,0.4340471477415872,-0.008243540924724034,-0.008074262078227923,0.06393711095651748,-0.06617427860081335,5.893667761808425,0.6960733591301705,-0.6472336080532234,-0.9052805609893847,-0.00824354092472403,-1.0,-0.9919324189460091,-0.23063640086810783,-0.23063640086810783,0.9054917813007594,3.0552807782550894e-63,-0.12893202087798936,1.0,-0.24574202248862206,-0.007090905920558487,-0.0011526350041655472,0.697782239712714,0.9927449194112025,1.5276403891275445e-62,True,1.0,False,0.9995462817276003,False,False,False,False
ict_fvg_bullish_formed+smc_fvg_bullish_formed,54640,0.5546120058565154,0.005956083685847479,0.0063178344129266595,0.06436600807921526,0.4287071514198025,7.605371201472629,1.3031854900487256,0.464520073561885,0.6765734667511292,0.005956083685847477,-0.9882885168043203,-0.38655129085273526,0.10416387636378142,0.10294396287615014,1.0429268249954362,4.314894360213892e-90,0.092534613588547,0.9999997554301614,-0.023817188474612075,0.007167020633253634,-0.0012109369474061554,0.7526315461412052,0.9999986061271038,5.1778732322566705e-89,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+smc_internal_choch_bullish,11679,0.5665724805205925,0.005870990097694982,0.00752215376641252,0.05978204641372474,0.1351256017482044,5.419542540274243,1.3174553181771884,0.49299309999442353,0.697729385413538,0.00587099009769498,-0.837749997951678,-0.260529553942988,0.12897832206821216,0.1080515890484556,1.0052640020366668,3.636596822011662e-27,0.09820657621963108,0.9977600646276906,-0.026057097736078467,0.007134854205503288,-0.0012638641078083065,0.7631672908113383,0.9871826485081769,5.074321146993016e-27,True,1.0,False,0.9995462817276003,False,False,False,False
ict_ob_bullish_mitigated+smc_internal_ob_bullish_mitigated,12299,0.4223920643954793,-0.008465849261347904,-0.011317190753567852,0.09294944259708911,0.6933487716362473,6.962597454490016,0.7626312086658658,-0.4572187290031995,-0.6950587509282649,-0.008465849261347906,-1.0,-0.9939216094878652,-0.27746449159853737,-0.27746449159853737,1.0408191086508158,2.2162716355819464e-20,-0.09108015093802219,1.0,-0.19982028414411387,-0.006983341973420719,-0.0014825072879271857,0.5703685172841524,0.9963336498286753,2.6073783948022898e-20,True,1.0,False,0.9995462817276003,False,False,False,False
